Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
SATB1	ENST00000338745.6	SATB homeobox 1 	312	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
ATP6V0E1	ENST00000519374.1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1 	1195	1	1	0	0	0	hsa-miR-126-5p	0	-0.17	N/A
TRAF3IP1	ENST00000373327.4	TNF receptor-associated factor 3 interacting protein 1 	105	1	0	1	0	1	hsa-miR-126-5p	0	-0.04	N/A
HIF1AN	ENST00000299163.6	hypoxia inducible factor 1, alpha subunit inhibitor 	1545	3	1	1	1	2	hsa-miR-126-5p	0	-0.06	N/A
CALM2	ENST00000272298.7	calmodulin 2 (phosphorylase kinase, delta) 	22519	1	0	1	0	0	hsa-miR-126-5p	0	-0.08	N/A
SCAI	ENST00000336505.6	suppressor of cancer cell invasion 	74	1	0	1	0	6	hsa-miR-126-5p	0	-0.02	N/A
DNAJC10	ENST00000264065.7	DnaJ (Hsp40) homolog, subfamily C, member 10 	709	5	0	3	2	9	hsa-miR-126-5p	0	-0.20	N/A
THUMPD2	ENST00000505747.1	THUMP domain containing 2 	700	1	0	0	1	1	hsa-miR-126-5p	0	-0.15	N/A
SH2D4A	ENST00000265807.3	SH2 domain containing 4A 	131	1	0	1	0	2	hsa-miR-126-5p	0	-0.02	N/A
TECPR2	ENST00000359520.7	tectonin beta-propeller repeat containing 2 	109	1	0	0	1	2	hsa-miR-126-5p	0	-0.01	N/A
SH3GLB1	ENST00000370558.4	SH3-domain GRB2-like endophilin B1 	3418	1	0	0	1	4	hsa-miR-126-5p	0	-0.05	N/A
CNIH1	ENST00000395573.4	cornichon family AMPA receptor auxiliary protein 1 	2182	2	1	1	0	2	hsa-miR-126-5p	0	-0.06	N/A
MPP5	ENST00000261681.4	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5) 	354	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
SCN9A	ENST00000409672.1	sodium channel, voltage-gated, type IX, alpha subunit 	240	2	0	0	2	0	hsa-miR-126-5p	0	-0.16	N/A
NMRK1	ENST00000376811.1	nicotinamide riboside kinase 1 	178	1	0	0	1	0	hsa-miR-126-5p	0	-0.10	N/A
PLCG2	ENST00000359376.3	phospholipase C, gamma 2 (phosphatidylinositol-specific) 	23	2	0	2	0	3	hsa-miR-126-5p	0	-0.04	N/A
PRKD2	ENST00000601806.1	protein kinase D2 	287	1	0	0	1	0	hsa-miR-126-5p	0	-0.10	N/A
SLC2A12	ENST00000275230.5	solute carrier family 2 (facilitated glucose transporter), member 12 	136	1	0	0	1	1	hsa-miR-126-5p	0	-0.04	N/A
PTGFRN	ENST00000393203.2	prostaglandin F2 receptor inhibitor 	591	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
ATG14	ENST00000247178.5	autophagy related 14 	25	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
PSMC4	ENST00000157812.2	proteasome (prosome, macropain) 26S subunit, ATPase, 4 	7388	2	0	0	2	1	hsa-miR-126-5p	0	-0.19	N/A
AFF1	ENST00000395146.4	AF4/FMR2 family, member 1 	28	1	0	0	1	1	hsa-miR-126-5p	0	-0.01	N/A
FOXL1	ENST00000320241.3	forkhead box L1 	367	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
JDP2	ENST00000435893.2	Jun dimerization protein 2 	110	2	1	1	0	0	hsa-miR-126-5p	0	-0.05	N/A
PIAS1	ENST00000249636.6	protein inhibitor of activated STAT, 1 	368	1	0	0	1	1	hsa-miR-126-5p	0	-0.01	N/A
RP11-383H13.1	ENST00000521467.1	Protein LOC100132891; cDNA FLJ53548  	26	1	0	0	1	2	hsa-miR-126-5p	0	-0.01	N/A
JAKMIP2	ENST00000507386.1	janus kinase and microtubule interacting protein 2 	26	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
MECP2	ENST00000303391.6	methyl CpG binding protein 2 (Rett syndrome) 	1474	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
ULK2	ENST00000395544.4	unc-51 like autophagy activating kinase 2 	489	1	0	0	1	3	hsa-miR-126-5p	0	-0.01	N/A
MTMR3	ENST00000333027.3	myotubularin related protein 3 	123	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
SLC16A13	ENST00000308027.6	solute carrier family 16, member 13 	137	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
GNG4	ENST00000450593.1	guanine nucleotide binding protein (G protein), gamma 4 	1171	1	1	0	0	0	hsa-miR-126-5p	0	-0.03	N/A
NAA30	ENST00000556492.1	N(alpha)-acetyltransferase 30, NatC catalytic subunit 	418	2	0	2	0	1	hsa-miR-126-5p	0	-0.04	N/A
GAPVD1	ENST00000470056.1	GTPase activating protein and VPS9 domains 1 	1805	1	0	0	1	1	hsa-miR-126-5p	0	-0.01	N/A
RNF19B	ENST00000356990.5	ring finger protein 19B 	45	2	1	0	1	4	hsa-miR-126-5p	0	-0.07	N/A
ZNF501	ENST00000396048.2	zinc finger protein 501 	24	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
MARCKS	ENST00000368635.4	myristoylated alanine-rich protein kinase C substrate 	188	4	1	2	1	1	hsa-miR-126-5p	0	-0.08	N/A
YME1L1	ENST00000326799.3	YME1-like 1 ATPase 	477	7	3	3	1	2	hsa-miR-126-5p	0	-0.16	N/A
TCEAL4	ENST00000472484.1	transcription elongation factor A (SII)-like 4 	937	1	0	0	1	0	hsa-miR-126-5p	0	-0.16	N/A
GID4	ENST00000268719.4	GID complex subunit 4 	79	1	0	0	1	2	hsa-miR-126-5p	0	-0.06	N/A
VPS36	ENST00000378060.4	vacuolar protein sorting 36 homolog (S. cerevisiae) 	57	1	0	1	0	2	hsa-miR-126-5p	0	-0.02	N/A
ZNF780A	ENST00000450241.2	zinc finger protein 780A 	44	1	0	1	0	3	hsa-miR-126-5p	0	-0.02	N/A
XRRA1	ENST00000527087.1	X-ray radiation resistance associated 1 	136	3	1	0	2	0	hsa-miR-126-5p	0	-0.05	N/A
FEM1C	ENST00000274457.3	fem-1 homolog c (C. elegans) 	222	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
HNRNPR	ENST00000478691.1	heterogeneous nuclear ribonucleoprotein R 	6629	1	1	0	0	3	hsa-miR-126-5p	0	-0.07	N/A
NAA38	ENST00000249299.2	N(alpha)-acetyltransferase 38, NatC auxiliary subunit 	458	2	0	2	0	1	hsa-miR-126-5p	0	-0.04	N/A
MFSD6	ENST00000392328.1	major facilitator superfamily domain containing 6 	47	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
RGS12	ENST00000538395.1	regulator of G-protein signaling 12 	635	1	0	0	1	0	hsa-miR-126-5p	0	-0.13	N/A
IBA57	ENST00000366711.3	IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae) 	66	2	0	0	2	0	hsa-miR-126-5p	0	-0.02	N/A
CXorf38	ENST00000378426.1	chromosome X open reading frame 38 	238	1	0	0	1	0	hsa-miR-126-5p	0	-0.05	N/A
PHLDA1	ENST00000602540.1	pleckstrin homology-like domain, family A, member 1 	3907	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
SLFN12	ENST00000394562.1	schlafen family member 12 	255	4	1	2	1	3	hsa-miR-126-5p	0	-0.08	N/A
SBNO1	ENST00000420886.2	strawberry notch homolog 1 (Drosophila) 	87	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
XRCC2	ENST00000359321.1	X-ray repair complementing defective repair in Chinese hamster cells 2 	140	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
GPR135	ENST00000395116.1	G protein-coupled receptor 135 	40	1	0	0	1	2	hsa-miR-126-5p	0	-0.01	N/A
PSMG1	ENST00000331573.3	proteasome (prosome, macropain) assembly chaperone 1 	31	1	0	1	0	2	hsa-miR-126-5p	0	-0.02	N/A
ATP6V1B2	ENST00000276390.2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2 	97	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
TCF21	ENST00000367882.4	transcription factor 21 	552	2	0	1	1	1	hsa-miR-126-5p	0	-0.03	N/A
IFNAR1	ENST00000270139.3	interferon (alpha, beta and omega) receptor 1 	372	1	0	0	1	4	hsa-miR-126-5p	0	-0.02	N/A
CDCP1	ENST00000296129.1	CUB domain containing protein 1 	137	1	0	0	1	2	hsa-miR-126-5p	0	-0.01	N/A
TLL1	ENST00000061240.2	tolloid-like 1 	247	1	0	1	0	2	hsa-miR-126-5p	0	-0.02	N/A
YARS2	ENST00000324868.8	tyrosyl-tRNA synthetase 2, mitochondrial 	192	2	0	1	1	1	hsa-miR-126-5p	0	-0.03	N/A
QPRT	ENST00000395384.4	quinolinate phosphoribosyltransferase 	1165	2	1	0	1	0	hsa-miR-126-5p	0	-0.23	N/A
VPS33A	ENST00000267199.4	vacuolar protein sorting 33 homolog A (S. cerevisiae) 	282	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
BAMBI	ENST00000375533.3	BMP and activin membrane-bound inhibitor 	515	2	0	1	1	0	hsa-miR-126-5p	0	-0.03	N/A
ATP1B1	ENST00000367816.1	ATPase, Na+/K+ transporting, beta 1 polypeptide 	656	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
COX5B	ENST00000258424.2	cytochrome c oxidase subunit Vb 	528	1	1	0	0	0	hsa-miR-126-5p	0	-0.39	N/A
SIX1	ENST00000247182.6	SIX homeobox 1 	1264	1*	0	0	0	1	hsa-miR-126-5p	0	-0.01	N/A
KIAA1430	ENST00000458385.2	KIAA1430 	75	1	0	1	0	2	hsa-miR-126-5p	0	-0.03	N/A
NCKAP1	ENST00000361354.4	NCK-associated protein 1 	700	7	1	4	2	6	hsa-miR-126-5p	0	-0.19	N/A
SMIM12	ENST00000521580.2	small integral membrane protein 12 	1091	2	0	0	2	0	hsa-miR-126-5p	0	-0.11	N/A
PCCB	ENST00000469217.1	propionyl CoA carboxylase, beta polypeptide 	379	1	1	0	0	1	hsa-miR-126-5p	0	-0.03	N/A
ABCF1	ENST00000326195.8	ATP-binding cassette, sub-family F (GCN20), member 1 	1078	3	1	1	1	0	hsa-miR-126-5p	0	-0.06	N/A
LRRC8D	ENST00000337338.5	leucine rich repeat containing 8 family, member D 	96	2	1	0	1	0	hsa-miR-126-5p	0	-0.04	N/A
ZNF26	ENST00000328654.5	zinc finger protein 26 	51	1	0	0	1	2	hsa-miR-126-5p	0	-0.01	N/A
HNRNPLL	ENST00000449105.3	heterogeneous nuclear ribonucleoprotein L-like 	753	2	0	1	1	0	hsa-miR-126-5p	0	-0.08	N/A
ASS1	ENST00000352480.5	argininosuccinate synthase 1 	829	1	1	0	0	0	hsa-miR-126-5p	0	-0.04	N/A
SDHAF2	ENST00000543265.1	succinate dehydrogenase complex assembly factor 2 	545	2	1	0	1	0	hsa-miR-126-5p	0	-0.21	N/A
SPIN1	ENST00000375859.3	spindlin 1 	686	2	0	0	2	3	hsa-miR-126-5p	0	-0.14	N/A
VPS29	ENST00000549578.1	vacuolar protein sorting 29 homolog (S. cerevisiae) 	2115	1	0	0	1	0	hsa-miR-126-5p	0	-0.13	N/A
PTCHD1	ENST00000379361.4	patched domain containing 1 	59	1	0	0	1	2	hsa-miR-126-5p	0	-0.04	N/A
KB-1507C5.2	ENST00000524007.1	HCG15011, isoform CRA_a; Protein LOC100996457  	103	2	1	0	1	0	hsa-miR-126-5p	0	-0.22	N/A
CNKSR3	ENST00000607772.1	CNKSR family member 3 	567	3	0	1	2	4	hsa-miR-126-5p	0	-0.04	N/A
STEAP3	ENST00000409811.1	STEAP family member 3, metalloreductase 	160	2	0	1	1	2	hsa-miR-126-5p	0	-0.06	N/A
SLITRK4	ENST00000381779.4	SLIT and NTRK-like family, member 4 	86	2	1	0	1	5	hsa-miR-126-5p	0	-0.05	N/A
HELLS	ENST00000394036.1	helicase, lymphoid-specific 	329	1	0	0	1	2	hsa-miR-126-5p	0	-0.01	N/A
PSMB9	ENST00000395330.1	proteasome (prosome, macropain) subunit, beta type, 9 	64	7	1	2	4	4	hsa-miR-126-5p	0	-0.89	N/A
RABAC1	ENST00000601891.1	Rab acceptor 1 (prenylated) 	2218	2	0	1	1	2	hsa-miR-126-5p	0	-0.16	N/A
NSD1	ENST00000439151.2	nuclear receptor binding SET domain protein 1 	685	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
PTRH2	ENST00000393038.2	peptidyl-tRNA hydrolase 2 	386	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
GAR1	ENST00000394631.3	GAR1 ribonucleoprotein 	82	1	0	1	0	0	hsa-miR-126-5p	0	-0.11	N/A
CIR1	ENST00000362053.5	corepressor interacting with RBPJ, 1 	310	1	0	1	0	0	hsa-miR-126-5p	0	-0.07	N/A
SUZ12	ENST00000322652.5	SUZ12 polycomb repressive complex 2 subunit 	104	1	0	0	1	0	hsa-miR-126-5p	0	-0.06	N/A
SCIN	ENST00000297029.5	scinderin 	23	2	0	1	1	3	hsa-miR-126-5p	0	-0.03	N/A
STRAP	ENST00000419869.2	serine/threonine kinase receptor associated protein 	379	1	0	0	1	1	hsa-miR-126-5p	0	-0.07	N/A
WDR53	ENST00000332629.5	WD repeat domain 53 	173	2	0	0	2	0	hsa-miR-126-5p	0	-0.09	N/A
CLMN	ENST00000298912.4	calmin (calponin-like, transmembrane) 	53	1	0	0	1	1	hsa-miR-126-5p	0	-0.01	N/A
RANBP2	ENST00000283195.6	RAN binding protein 2 	814	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
SPTY2D1	ENST00000336349.5	SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae) 	241	2	0	1	1	0	hsa-miR-126-5p	0	-0.03	N/A
MED7	ENST00000286317.5	mediator complex subunit 7 	356	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
PLEKHA3	ENST00000234453.5	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3 	767	1	1	0	0	6	hsa-miR-126-5p	0	-0.05	N/A
PRMT10	ENST00000322396.6	protein arginine methyltransferase 10 (putative) 	71	1	0	0	1	2	hsa-miR-126-5p	0	-0.01	N/A
SURF6	ENST00000372022.4	surfeit 6 	175	2	0	1	1	0	hsa-miR-126-5p	0	-0.03	N/A
TRMT5	ENST00000261249.6	tRNA methyltransferase 5 	192	1	0	1	0	3	hsa-miR-126-5p	0	-0.02	N/A
CC2D1B	ENST00000371586.2	coiled-coil and C2 domain containing 1B 	42	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
ZNF766	ENST00000439461.1	zinc finger protein 766 	324	2	1	0	1	0	hsa-miR-126-5p	0	-0.04	N/A
GPR37	ENST00000303921.2	G protein-coupled receptor 37 (endothelin receptor type B-like) 	395	2	1	0	1	0	hsa-miR-126-5p	0	-0.04	N/A
LRRC28	ENST00000301981.3	leucine rich repeat containing 28 	194	2	0	1	1	2	hsa-miR-126-5p	0	-0.03	N/A
CLUAP1	ENST00000576634.1	clusterin associated protein 1 	99	1	0	0	1	1	hsa-miR-126-5p	0	-0.01	N/A
MFAP5	ENST00000359478.2	microfibrillar associated protein 5 	216	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
EPB41L4B	ENST00000374557.4	erythrocyte membrane protein band 4.1 like 4B 	135	1	1	0	0	1	hsa-miR-126-5p	0	-0.03	N/A
RIMKLA	ENST00000431473.3	ribosomal modification protein rimK-like family member A 	100	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
MFF	ENST00000304593.9	mitochondrial fission factor 	129	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
MARCH7	ENST00000259050.4	membrane-associated ring finger (C3HC4) 7, E3 ubiquitin protein ligase 	537	2	0	0	2	0	hsa-miR-126-5p	0	-0.02	N/A
TMEM2	ENST00000377044.4	transmembrane protein 2 	130	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
SETD9	ENST00000285947.2	SET domain containing 9 	45	2	1	0	1	3	hsa-miR-126-5p	0	-0.04	N/A
FGL2	ENST00000248598.5	fibrinogen-like 2 	189	3	0	0	3	4	hsa-miR-126-5p	0	-0.12	N/A
VEZT	ENST00000436874.1	vezatin, adherens junctions transmembrane protein 	1054	4	0	2	2	3	hsa-miR-126-5p	0	-0.23	N/A
ATP5F1	ENST00000369722.3	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1 	347	2	0	1	1	4	hsa-miR-126-5p	0	-0.03	N/A
YAP1	ENST00000282441.5	Yes-associated protein 1 	1175	2	0	2	0	1	hsa-miR-126-5p	0	-0.04	N/A
FAM162A	ENST00000477892.1	family with sequence similarity 162, member A 	1191	1	0	1	0	2	hsa-miR-126-5p	0	-0.02	N/A
UBA5	ENST00000264991.4	ubiquitin-like modifier activating enzyme 5 	489	1	0	0	1	1	hsa-miR-126-5p	0	-0.05	N/A
TCERG1	ENST00000296702.5	transcription elongation regulator 1 	152	2	0	2	0	2	hsa-miR-126-5p	0	-0.10	N/A
ANG	ENST00000336811.6	angiogenin, ribonuclease, RNase A family, 5 	1279	2	0	0	2	0	hsa-miR-126-5p	0	-0.08	N/A
RAD50	ENST00000378823.3	RAD50 homolog (S. cerevisiae) 	335	2	0	1	1	0	hsa-miR-126-5p	0	-0.03	N/A
CHURC1	ENST00000548752.2	churchill domain containing 1 	869	1	1	0	0	1	hsa-miR-126-5p	0	-0.31	N/A
DNMT3A	ENST00000380746.4	DNA (cytosine-5-)-methyltransferase 3 alpha 	221	2	0	2	0	1	hsa-miR-126-5p	0	-0.04	N/A
TSPAN6	ENST00000373020.4	tetraspanin 6 	885	1	0	0	1	1	hsa-miR-126-5p	0	-0.13	N/A
ZNF417	ENST00000312026.5	zinc finger protein 417 	19	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
TOR1B	ENST00000259339.2	torsin family 1, member B (torsin B) 	222	2	0	1	1	0	hsa-miR-126-5p	0	-0.03	N/A
SGIP1	ENST00000371036.3	SH3-domain GRB2-like (endophilin) interacting protein 1 	180	4	1	1	2	6	hsa-miR-126-5p	0	-0.19	N/A
GTPBP8	ENST00000383677.3	GTP-binding protein 8 (putative) 	326	2	1	0	1	0	hsa-miR-126-5p	0	-0.11	N/A
TMEM136	ENST00000529187.1	transmembrane protein 136 	344	1	0	0	1	1	hsa-miR-126-5p	0	-0.08	N/A
BAIAP2L1	ENST00000005260.8	BAI1-associated protein 2-like 1 	1118	1	1	0	0	0	hsa-miR-126-5p	0	-0.13	N/A
ABT1	ENST00000274849.1	activator of basal transcription 1 	138	1	0	0	1	1	hsa-miR-126-5p	0	-0.01	N/A
DONSON	ENST00000453626.1	downstream neighbor of SON 	103	1	0	0	1	0	hsa-miR-126-5p	0	-0.03	N/A
ZNF670	ENST00000366503.2	zinc finger protein 670 	117	1	1	0	0	0	hsa-miR-126-5p	0	-0.03	N/A
VSTM4	ENST00000332853.4	V-set and transmembrane domain containing 4 	59	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
COX20	ENST00000411948.2	COX20 cytochrome C oxidase assembly factor 	693	1	0	1	0	1	hsa-miR-126-5p	0	-0.04	N/A
ASCC1	ENST00000342444.4	activating signal cointegrator 1 complex subunit 1 	293	3	0	1	2	2	hsa-miR-126-5p	0	-0.07	N/A
LMNB1	ENST00000261366.5	lamin B1 	369	2	1	0	1	0	hsa-miR-126-5p	0	-0.43	N/A
KIN	ENST00000379562.4	KIN, antigenic determinant of recA protein homolog (mouse) 	443	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
SCLT1	ENST00000281142.5	sodium channel and clathrin linker 1 	70	1	0	1	0	0	hsa-miR-126-5p	0	-0.03	N/A
AMACR	ENST00000335606.6	alpha-methylacyl-CoA racemase 	308	2	1	0	1	2	hsa-miR-126-5p	0	-0.15	N/A
PAQR5	ENST00000395407.2	progestin and adipoQ receptor family member V 	62	1	0	0	1	3	hsa-miR-126-5p	0	-0.01	N/A
NDUFAF6	ENST00000396113.1	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 	420	2	1	1	0	0	hsa-miR-126-5p	0	-0.34	N/A
NSMCE2	ENST00000287437.3	non-SMC element 2, MMS21 homolog (S. cerevisiae) 	364	1	0	0	1	0	hsa-miR-126-5p	0	-0.07	N/A
TRAF7	ENST00000326181.6	TNF receptor-associated factor 7, E3 ubiquitin protein ligase 	1505	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
VPS53	ENST00000437048.2	vacuolar protein sorting 53 homolog (S. cerevisiae) 	1332	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
UQCRFS1	ENST00000304863.4	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 	59	2	0	1	1	2	hsa-miR-126-5p	0	-0.04	N/A
SMURF2	ENST00000262435.9	SMAD specific E3 ubiquitin protein ligase 2 	978	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
SFT2D2	ENST00000271375.4	SFT2 domain containing 2 	97	1	0	0	1	1	hsa-miR-126-5p	0	-0.01	N/A
CYLD	ENST00000540145.1	cylindromatosis (turban tumor syndrome) 	696	1	0	0	1	2	hsa-miR-126-5p	0	-0.01	N/A
PPP1CB	ENST00000395366.2	protein phosphatase 1, catalytic subunit, beta isozyme 	5795	1	0	1	0	3	hsa-miR-126-5p	0	-0.03	N/A
KIAA0141	ENST00000194118.4	KIAA0141 	1078	1	1	0	0	3	hsa-miR-126-5p	0	-0.03	N/A
DICER1	ENST00000541352.1	dicer 1, ribonuclease type III 	25	2	1	1	0	3	hsa-miR-126-5p	0	-0.07	N/A
MTMR7	ENST00000180173.5	myotubularin related protein 7 	33	1	0	1	0	2	hsa-miR-126-5p	0	-0.02	N/A
RPAP2	ENST00000610020.1	RNA polymerase II associated protein 2 	222	1	0	0	1	5	hsa-miR-126-5p	0	-0.08	N/A
MBD3	ENST00000590550.2	methyl-CpG binding domain protein 3 	393	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
C9orf114	ENST00000361256.5	chromosome 9 open reading frame 114 	488	1	1	0	0	0	hsa-miR-126-5p	0	-0.08	N/A
CSTB	ENST00000291568.5	cystatin B (stefin B) 	203	1	1	0	0	0	hsa-miR-126-5p	0	-0.09	N/A
CPSF3	ENST00000238112.3	cleavage and polyadenylation specific factor 3, 73kDa 	858	1	1	0	0	0	hsa-miR-126-5p	0	-0.27	N/A
PTCD3	ENST00000254630.7	pentatricopeptide repeat domain 3 	2308	2	1	1	0	0	hsa-miR-126-5p	0	-0.05	N/A
SMAD2	ENST00000262160.6	SMAD family member 2 	1196	2	0	0	2	7	hsa-miR-126-5p	0	-0.02	N/A
DARS	ENST00000264161.4	aspartyl-tRNA synthetase 	361	1	0	0	1	2	hsa-miR-126-5p	0	-0.01	N/A
AHI1	ENST00000417892.2	Abelson helper integration site 1 	72	2	0	1	1	1	hsa-miR-126-5p	0	-0.04	N/A
C22orf29	ENST00000407472.1	chromosome 22 open reading frame 29 	351	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
RAB10	ENST00000264710.4	RAB10, member RAS oncogene family 	998	1	0	0	1	1	hsa-miR-126-5p	0	-0.01	N/A
HEBP2	ENST00000607197.1	heme binding protein 2 	252	1	0	0	1	3	hsa-miR-126-5p	0	-0.01	N/A
LCMT2	ENST00000567039.1	leucine carboxyl methyltransferase 2 	274	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
B4GALT7	ENST00000029410.5	xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 	2968	1	1	0	0	0	hsa-miR-126-5p	0	-0.03	N/A
RAB3C	ENST00000282878.4	RAB3C, member RAS oncogene family 	242	2	0	1	1	3	hsa-miR-126-5p	0	-0.03	N/A
TFDP2	ENST00000499676.2	transcription factor Dp-2 (E2F dimerization partner 2) 	128	1	0	1	0	1	hsa-miR-126-5p	0	-0.02	N/A
GPRASP1	ENST00000361600.5	G protein-coupled receptor associated sorting protein 1 	25	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
PRR13	ENST00000549068.1	proline rich 13 	387	1	0	0	1	0	hsa-miR-126-5p	0	-0.06	N/A
PHKA2	ENST00000379942.4	phosphorylase kinase, alpha 2 (liver) 	588	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
GALK2	ENST00000327171.3	galactokinase 2 	626	1	0	0	1	0	hsa-miR-126-5p	0	-0.05	N/A
ANXA10	ENST00000359299.3	annexin A10 	335	1	0	0	1	0	hsa-miR-126-5p	0	-0.14	N/A
RIC8B	ENST00000392837.4	RIC8 guanine nucleotide exchange factor B 	49	1	0	1	0	0	hsa-miR-126-5p	0	-0.02	N/A
ABI2	ENST00000295851.5	abl-interactor 2 	877	3	0	0	3	2	hsa-miR-126-5p	0	-0.40	N/A
ZNRF2	ENST00000323037.4	zinc and ring finger 2 	403	1	1	0	0	4	hsa-miR-126-5p	0	-0.04	N/A
ANKS4B	ENST00000311620.5	ankyrin repeat and sterile alpha motif domain containing 4B 	40	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
CLCN3	ENST00000513761.1	chloride channel, voltage-sensitive 3 	1142	2	0	2	0	3	hsa-miR-126-5p	0	-0.04	N/A
FZD5	ENST00000295417.3	frizzled family receptor 5 	122	1	0	1	0	2	hsa-miR-126-5p	0	-0.02	N/A
SSBP2	ENST00000320672.4	single-stranded DNA binding protein 2 	1996	4	2	0	2	7	hsa-miR-126-5p	0	-0.08	N/A
TPR	ENST00000367478.4	translocated promoter region, nuclear basket protein 	529	2	0	1	1	2	hsa-miR-126-5p	0	-0.06	N/A
IGFBP3	ENST00000381086.5	insulin-like growth factor binding protein 3 	1857	1	0	1	0	0	hsa-miR-126-5p	0	-0.08	N/A
DNA2	ENST00000399180.2	DNA replication helicase/nuclease 2 	81	1	0	1	0	1	hsa-miR-126-5p	0	-0.03	N/A
RUNX3	ENST00000399916.1	runt-related transcription factor 3 	378	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
ZNF397	ENST00000330501.7	zinc finger protein 397 	59	2	1	1	0	1	hsa-miR-126-5p	0	-0.05	N/A
CCSER2	ENST00000224756.8	coiled-coil serine-rich protein 2 	123	2	0	0	2	4	hsa-miR-126-5p	0	-0.02	N/A
TPCN2	ENST00000294309.3	two pore segment channel 2 	629	1	0	0	1	0	hsa-miR-126-5p	0	-0.01	N/A
TPBG	ENST00000369750.3	trophoblast glycoprotein 	170	1	0	0	1	2	hsa-miR-126-5p	0	-0.07	N/A
DR1	ENST00000370272.4	down-regulator of transcription 1, TBP-binding (negative cofactor 2) 	2994	2	0	0	2	2	hsa-miR-126-5p	0	-0.21	N/A
GSPT1	ENST00000434724.2	G1 to S phase transition 1 	1119	2	0	0	2	3	hsa-miR-126-5p	0	-0.09	N/A
RBM23	ENST00000555209.1	RNA binding motif protein 23 	1540	1	1	0	0	2	hsa-miR-126-5p	0	-0.04	N/A
DECR1	ENST00000220764.2	2,4-dienoyl CoA reductase 1, mitochondrial 	131	1	0	0	1	2	hsa-miR-126-5p	0	-0.13	N/A
ABCB7	ENST00000253577.3	ATP-binding cassette, sub-family B (MDR/TAP), member 7 	77	1	0	0	1	1	hsa-miR-126-5p	0	-0.03	N/A
NTMT1	ENST00000372481.3	N-terminal Xaa-Pro-Lys N-methyltransferase 1 	1628	1	0	0	1	0	hsa-miR-126-5p	0	-0.15	N/A
