Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
UBR3	ENST00000272793.5	ubiquitin protein ligase E3 component n-recognin 3 (putative) 	200	1	1	0	0	0	0	0	0	1	hsa-miR-424-5p	-0.15	-0.36	0.82	2005, 2007, 2009, 2011
TRIM66	ENST00000299550.6	tripartite motif containing 66 	33	1	0	1	0	5	1	2	2	5	hsa-miR-15a-5p	-0.15	-0.18	0.50	2011
LRRC58	ENST00000295628.3	leucine rich repeat containing 58 	940	1	0	0	1	0	0	0	0	0	hsa-miR-424-5p	-0.15	-0.15	0.86	2009, 2011
DHTKD1	ENST00000263035.4	dehydrogenase E1 and transketolase domain containing 1 	621	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.15	-0.15	0.47	2009, 2011
NFATC2	ENST00000371564.3	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 	105	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.15	-0.15	0.76	
PLXNB1	ENST00000296440.6	plexin B1 	47	1	0	1	0	1	0	0	1	0	hsa-miR-15a-5p	-0.15	-0.20	0.72	2011
DSEL	ENST00000310045.7	dermatan sulfate epimerase-like 	26	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.15	-0.21	0.71	2011
USP12	ENST00000282344.6	ubiquitin specific peptidase 12 	35	1	1	0	0	0	0	0	0	1	hsa-miR-16-5p	-0.15	-0.38	0.80	2011
XKR4	ENST00000327381.6	XK, Kell blood group complex subunit-related family, member 4 	5	1	1	0	0	2	0	2	0	1	hsa-miR-424-5p	-0.15	-0.15	0.65	
PLEKHH1	ENST00000329153.5	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1 	125	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.15	-0.15	0.62	2005, 2007, 2009, 2011
STXBP1	ENST00000373302.3	syntaxin binding protein 1 	295	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.15	-0.17	0.52	2005, 2007, 2009, 2011
MBTPS2	ENST00000379484.5	membrane-bound transcription factor peptidase, site 2 	1711	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.15	-0.15	0.45	
AATK	ENST00000326724.4	apoptosis-associated tyrosine kinase 	307	1	1	0	0	0	0	0	0	1	hsa-miR-16-5p	-0.14	-0.14	0.62	2009, 2011
ACTR1A	ENST00000487599.1	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast) 	190	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.14	-0.18	0.75	2005, 2007, 2009, 2011
BCR	ENST00000305877.8	breakpoint cluster region 	5	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.14	-0.14	0.74	2005, 2007, 2009, 2011
SKIL	ENST00000458537.3	SKI-like oncogene 	210	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.14	-0.14	< 0.1	2011
CLUH	ENST00000570628.2	clustered mitochondria (cluA/CLU1) homolog 	125	1	0	1	0	2	0	2	0	1	hsa-miR-15b-5p	-0.14	-0.17	0.65	2005, 2007, 2009, 2011
SEMA3D	ENST00000284136.6	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D 	85	1	1	0	0	0	0	0	0	1	hsa-miR-16-5p	-0.14	-0.26	0.19	2005, 2007, 2009, 2011
DAB1	ENST00000371236.2	Dab, reelin signal transducer, homolog 1 (Drosophila) 	490	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.14	-0.21	0.56	
FAM199X	ENST00000493442.1	family with sequence similarity 199, X-linked 	856	1	0	1	0	0	0	0	0	3	hsa-miR-497-5p	-0.14	-0.20	0.50	2011
SLC6A11	ENST00000254488.2	solute carrier family 6 (neurotransmitter transporter), member 11 	83	1	1	0	0	0	0	0	0	2	hsa-miR-15a-5p	-0.14	-0.20	0.98	
SLC43A1	ENST00000278426.3	solute carrier family 43 (amino acid system L transporter), member 1 	483	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.14	-0.15	0.55	2011
FHDC1	ENST00000260008.3	FH2 domain containing 1 	53	1	0	0	1	0	0	0	0	2	hsa-miR-424-5p	-0.14	-0.14	0.62	2009, 2011
FAM122B	ENST00000370790.1	family with sequence similarity 122B 	334	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.14	-0.34	0.45	2009, 2011
UBAP1	ENST00000545103.1	ubiquitin associated protein 1 	357	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.14	-0.14	0.59	2007, 2009, 2011
ENTPD5	ENST00000334696.6	ectonucleoside triphosphate diphosphohydrolase 5 	105	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.14	-0.34	0.73	
BSDC1	ENST00000341071.7	BSD domain containing 1 	714	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.14	-0.14	0.54	2009, 2011
UNC5B	ENST00000335350.6	unc-5 homolog B (C. elegans) 	90	1	1	0	0	0	0	0	0	2	hsa-miR-424-5p	-0.14	-0.14	< 0.1	2011
TMEM259	ENST00000333175.5	transmembrane protein 259 	1339	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.14	-0.14	ORF	
AHCYL2	ENST00000325006.3	adenosylhomocysteinase-like 2 	51	2	0	2	0	0	0	0	0	1	hsa-miR-16-5p	-0.14	-0.50	0.90	2005, 2007, 2009, 2011
CSRNP2	ENST00000228515.1	cysteine-serine-rich nuclear protein 2 	104	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.14	-0.16	0.68	2009, 2011
RLIM	ENST00000332687.6	ring finger protein, LIM domain interacting 	662	1	0	1	0	0	0	0	0	4	hsa-miR-15a-5p	-0.14	-0.14	0.69	2011
KIAA1549	ENST00000440172.1	KIAA1549 	508	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.14	-0.14	0.73	2009, 2011
CHIC1	ENST00000373504.6	cysteine-rich hydrophobic domain 1 	16	2	0	2	0	0	0	0	0	0	hsa-miR-195-5p	-0.14	-0.50	0.83	2009, 2011
FNIP2	ENST00000264433.6	folliculin interacting protein 2 	266	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.14	-0.22	0.60	2009, 2011
OXA1L	ENST00000285848.5	oxidase (cytochrome c) assembly 1-like 	317	1	0	1	0	1	1	0	0	0	hsa-miR-16-5p	-0.14	-0.55	0.47	
LRRC15	ENST00000347624.3	leucine rich repeat containing 15 	12	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.14	-0.14	0.55	2011
ADNP2	ENST00000262198.4	ADNP homeobox 2 	808	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.14	-0.14	0.55	2011
EYA4	ENST00000367895.5	eyes absent homolog 4 (Drosophila) 	242	1	1	0	0	0	0	0	0	2	hsa-miR-16-5p	-0.13	-0.24	< 0.1	2011
CHRM3	ENST00000255380.4	cholinergic receptor, muscarinic 3 	47	1	0	1	0	1	1	0	0	1	hsa-miR-16-5p	-0.13	-0.19	0.52	
ELK4	ENST00000357992.4	ELK4, ETS-domain protein (SRF accessory protein 1) 	39	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.13	-0.34	0.72	2011
RIMS3	ENST00000372684.3	regulating synaptic membrane exocytosis 3 	24	1	0	1	0	0	0	0	0	2	hsa-miR-16-5p	-0.13	-0.44	0.64	2009, 2011
PIM3	ENST00000360612.4	pim-3 oncogene 	9484	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.13	-0.13	0.62	2009, 2011
PHLPP2	ENST00000568954.1	PH domain and leucine rich repeat protein phosphatase 2 	172	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.13	-0.13	0.58	2007, 2009, 2011
AC174470.1	ENST00000457257.1		164	1	0	1	0	1	0	1	0	1	hsa-miR-15a-5p	-0.13	-0.13	0.46	
LRRFIP2	ENST00000421307.1	leucine rich repeat (in FLII) interacting protein 2 	326	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.13	-0.37	0.70	2005, 2007, 2011
KCTD1	ENST00000579973.1	potassium channel tetramerization domain containing 1 	33	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.13	-0.33	0.60	2005, 2007, 2011
RAB11FIP5	ENST00000258098.6	RAB11 family interacting protein 5 (class I) 	81	1	0	1	0	1	0	0	1	2	hsa-miR-15a-5p	-0.13	-0.44	0.51	2009, 2011
ROCK1	ENST00000399799.2	Rho-associated, coiled-coil containing protein kinase 1 	7	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.13	-0.13	0.44	
SLC4A7	ENST00000295736.5	solute carrier family 4, sodium bicarbonate cotransporter, member 7 	146	1	1	0	0	0	0	0	0	1	hsa-miR-497-5p	-0.13	-0.18	< 0.1	2005, 2007, 2009, 2011
GPR153	ENST00000377893.2	G protein-coupled receptor 153 	39	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.13	-0.13	0.59	2011
STRN	ENST00000263918.4	striatin, calmodulin binding protein 	476	1	0	0	1	0	0	0	0	1	hsa-miR-424-5p	-0.13	-0.21	0.67	2011
OTUD4	ENST00000454497.2	OTU domain containing 4 	18	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.13	-0.13	0.82	2007, 2009, 2011
SCUBE3	ENST00000274938.7	signal peptide, CUB domain, EGF-like 3 	47	1	0	1	0	1	0	1	0	1	hsa-miR-16-5p	-0.13	-0.23	0.72	
MKX	ENST00000375790.5	mohawk homeobox 	165	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.13	-0.40	0.53	
CRAMP1L	ENST00000397412.3	Crm, cramped-like (Drosophila) 	731	1	0	1	0	1	0	0	1	2	hsa-miR-497-5p	-0.13	-0.13	0.45	2011
VTI1A	ENST00000393077.2	vesicle transport through interaction with t-SNAREs 1A 	376	1	0	1	0	0	0	0	0	0	hsa-miR-424-5p	-0.13	-0.18	0.68	2007, 2009, 2011
NFRKB	ENST00000446488.3	nuclear factor related to kappaB binding protein 	21	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.13	-0.13	0.57	2011
ZFYVE27	ENST00000453958.2	zinc finger, FYVE domain containing 27 	565	1	0	1	0	0	0	0	0	1	hsa-miR-195-5p	-0.13	-0.13	< 0.1	
MYO5A	ENST00000399231.3	myosin VA (heavy chain 12, myoxin) 	573	1	1	0	0	0	0	0	0	1	hsa-miR-424-5p	-0.13	-0.25	0.79	2011
YIPF6	ENST00000462683.1	Yip1 domain family, member 6 	888	1	0	1	0	0	0	0	0	2	hsa-miR-16-5p	-0.13	-0.29	0.44	2011
LHPP	ENST00000368839.1	phospholysine phosphohistidine inorganic pyrophosphate phosphatase 	2365	1	0	1	0	1	0	1	0	2	hsa-miR-15a-5p	-0.13	-0.18	< 0.1	
KCNK7	ENST00000394216.2	potassium channel, subfamily K, member 7 	5	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.12	-0.12	ORF	
ZNF704	ENST00000327835.3	zinc finger protein 704 	124	1	0	1	0	2	1	0	1	2	hsa-miR-424-5p	-0.12	-0.23	0.63	
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	1	0	1	0	2	0	1	1	1	hsa-miR-497-5p	-0.12	-0.13	0.90	2007, 2009, 2011
CHD5	ENST00000262450.3	chromodomain helicase DNA binding protein 5 	5	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.12	-0.12	0.52	2005, 2007, 2009, 2011
PPM1L	ENST00000498165.1	protein phosphatase, Mg2+/Mn2+ dependent, 1L 	59	2	0	2	0	1	0	1	0	2	hsa-miR-195-5p	-0.12	-0.15	0.55	
ZC3H12B	ENST00000338957.4	zinc finger CCCH-type containing 12B 	29	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.12	-0.12	0.72	2007, 2009, 2011
KLC2	ENST00000394065.2	kinesin light chain 2 	11832	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.12	-0.12	0.60	2005, 2007, 2011
FAM134C	ENST00000309428.5	family with sequence similarity 134, member C 	397	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.12	-0.12	0.53	
UBXN10	ENST00000375099.3	UBX domain protein 10 	5	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.12	-0.12	0.50	2005, 2007, 2009, 2011
ZNF397	ENST00000330501.7	zinc finger protein 397 	59	1	0	1	0	0	0	0	0	1	hsa-miR-195-5p	-0.12	-0.14	0.52	
GNA13	ENST00000439174.2	guanine nucleotide binding protein (G protein), alpha 13 	190	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.12	-0.17	0.54	2011
PODXL	ENST00000541194.1	podocalyxin-like 	2928	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.12	-0.12	0.49	2011
FAF1	ENST00000396153.2	Fas (TNFRSF6) associated factor 1 	428	1	0	1	0	1	0	1	0	1	hsa-miR-16-5p	-0.12	-0.44	0.51	
PPIG	ENST00000260970.3	peptidylprolyl isomerase G (cyclophilin G) 	470	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.12	-0.28	0.60	
AVEN	ENST00000306730.3	apoptosis, caspase activation inhibitor 	230	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.12	-0.22	ORF	
DIAPH1	ENST00000389054.3	diaphanous-related formin 1 	399	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.12	-0.12	0.57	2009, 2011
RBM24	ENST00000379052.5	RNA binding motif protein 24 	43	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.12	-0.40	0.67	2009, 2011
HMGXB4	ENST00000216106.5	HMG box domain containing 4 	966	1	0	1	0	0	0	0	0	1	hsa-miR-497-5p	-0.12	-0.12	0.51	2009, 2011
MINK1	ENST00000347992.7	misshapen-like kinase 1 	1983	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.12	-0.12	0.67	2005, 2007, 2009, 2011
GSE1	ENST00000253458.7	Gse1 coiled-coil protein 	133	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.12	-0.12	0.77	2009, 2011
NYNRIN	ENST00000382554.3	NYN domain and retroviral integrase containing 	1928	1	1	0	0	0	0	0	0	1	hsa-miR-195-5p	-0.12	-0.12	0.85	2007, 2009, 2011
SHROOM3	ENST00000296043.6	shroom family member 3 	2841	1	0	1	0	1	0	1	0	1	hsa-miR-16-5p	-0.11	-0.13	0.76	2009, 2011
PKDCC	ENST00000294964.5	protein kinase domain containing, cytoplasmic 	123	2	0	2	0	0	0	0	0	0	hsa-miR-15b-5p	-0.11	-0.11	0.93	2007, 2009, 2011
UNC13A	ENST00000519716.2	unc-13 homolog A (C. elegans) 	5	1	1	0	0	0	0	0	0	2	hsa-miR-424-5p	-0.11	-0.11	0.89	2007, 2009, 2011
RAB10	ENST00000264710.4	RAB10, member RAS oncogene family 	998	2	1	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.11	-0.57	0.82	2005, 2007
ABI2	ENST00000295851.5	abl-interactor 2 	877	2	0	2	0	3	0	2	1	7	hsa-miR-16-5p	-0.11	-0.61	0.80	2009, 2011
GAS2L3	ENST00000547754.1	growth arrest-specific 2 like 3 	478	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.11	-0.12	0.63	
NAPEPLD	ENST00000417955.1	N-acyl phosphatidylethanolamine phospholipase D 	13	1	1	0	0	1	0	1	0	0	hsa-miR-16-5p	-0.11	-0.23	0.13	2009, 2011
SEC31B	ENST00000370345.3	SEC31 homolog B (S. cerevisiae) 	43	1	1	0	0	0	0	0	0	3	hsa-miR-15a-5p	-0.11	-0.18	0.25	
DPP8	ENST00000341861.5	dipeptidyl-peptidase 8 	1293	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.11	-0.20	0.76	
PAK7	ENST00000378423.1	p21 protein (Cdc42/Rac)-activated kinase 7 	6	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.11	-0.11	0.65	2005, 2007, 2009, 2011
STK32A	ENST00000397936.3	serine/threonine kinase 32A 	8	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.11	-0.11	0.47	
TRAM1	ENST00000521425.1	translocation associated membrane protein 1 	790	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.11	-0.34	0.37	2005, 2007, 2009, 2011
TNPO1	ENST00000337273.5	transportin 1 	2041	1	0	0	1	0	0	0	0	2	hsa-miR-424-5p	-0.11	-0.18	0.77	2011
ZNF629	ENST00000262525.4	zinc finger protein 629 	44	1	0	0	1	0	0	0	0	0	hsa-miR-424-5p	-0.11	-0.11	0.76	2007, 2011
CACNA1E	ENST00000526775.1	calcium channel, voltage-dependent, R type, alpha 1E subunit 	5	1	1	0	0	3	2	1	0	2	hsa-miR-15a-5p	-0.11	-0.11	0.22	2009, 2011
PI4KB	ENST00000368874.4	phosphatidylinositol 4-kinase, catalytic, beta 	1504	1	0	1	0	0	0	0	0	0	hsa-miR-497-5p	-0.11	-0.11	0.65	2005, 2007, 2009, 2011
POU3F2	ENST00000328345.5	POU class 3 homeobox 2 	274	1	0	1	0	0	0	0	0	2	hsa-miR-497-5p	-0.11	-0.11	0.47	2005, 2007
WDR47	ENST00000400794.3	WD repeat domain 47 	185	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.11	-0.11	0.64	2005, 2007, 2009, 2011
GLCE	ENST00000559420.2	glucuronic acid epimerase 	25	1	0	0	1	0	0	0	0	0	hsa-miR-497-5p	-0.11	-0.26	0.86	2009, 2011
USP31	ENST00000219689.7	ubiquitin specific peptidase 31 	214	1	1	0	0	0	0	0	0	0	hsa-miR-16-5p	-0.11	-0.20	0.81	2007, 2009, 2011
NAA25	ENST00000261745.4	N(alpha)-acetyltransferase 25, NatB auxiliary subunit 	919	2	0	2	0	0	0	0	0	0	hsa-miR-15a-5p	-0.11	-0.40	0.93	2007, 2009, 2011
RAD51L3-RFFL	ENST00000593039.1	Uncharacterized protein  	670	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.11	-0.13	0.58	
HCN1	ENST00000303230.4	hyperpolarization activated cyclic nucleotide-gated potassium channel 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.11	-0.11	0.77	2009, 2011
LRP2	ENST00000263816.3	low density lipoprotein receptor-related protein 2 	56	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.11	-0.25	0.59	2007, 2009, 2011
VTA1	ENST00000367630.4	vesicle (multivesicular body) trafficking 1 	1424	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.10	-0.17	0.66	
LIN28A	ENST00000326279.6	lin-28 homolog A (C. elegans) 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.10	-0.10	0.53	2011
PHKA1	ENST00000373542.4	phosphorylase kinase, alpha 1 (muscle) 	277	1	1	0	0	0	0	0	0	0	hsa-miR-16-5p	-0.10	-0.44	< 0.1	2009, 2011
ZNF469	ENST00000437464.1	zinc finger protein 469 	139	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.10	-0.10	0.56	
RAB37	ENST00000392610.1	RAB37, member RAS oncogene family 	875	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.10	-0.10	ORF	
EDNRA	ENST00000339690.5	endothelin receptor type A 	35	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.10	-0.10	ORF	
ARHGAP20	ENST00000260283.4	Rho GTPase activating protein 20 	85	1	1	0	0	0	0	0	0	0	hsa-miR-424-5p	-0.10	-0.15	ORF	2007, 2009, 2011
GLUD1	ENST00000277865.4	glutamate dehydrogenase 1 	287	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.10	-0.34	0.72	2005, 2007, 2009, 2011
PI4K2A	ENST00000370649.3	Phosphatidylinositol 4-kinase type 2-alpha; Uncharacterized protein  	1489	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.10	-0.10	0.50	
TRIP10	ENST00000313285.8	thyroid hormone receptor interactor 10 	5	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.10	-0.10	ORF	2007, 2009, 2011
DCAF8	ENST00000556710.1	DDB1- and CUL4-associated factor 8  	1924	1	1	0	0	0	0	0	0	2	hsa-miR-497-5p	-0.10	-0.40	0.63	
SLC2A13	ENST00000280871.4	solute carrier family 2 (facilitated glucose transporter), member 13 	47	1	1	0	0	0	0	0	0	1	hsa-miR-424-5p	-0.10	-0.13	< 0.1	
FKBP5	ENST00000536438.1	FK506 binding protein 5 	32	1	0	1	0	1	0	0	1	0	hsa-miR-424-5p	-0.10	-0.22	0.77	2009, 2011
TSPAN9	ENST00000537971.1	tetraspanin 9 	1410	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.10	-0.20	0.67	2009, 2011
JMJD1C	ENST00000399251.1	jumonji domain containing 1C 	60	1	1	0	0	0	0	0	0	1	hsa-miR-497-5p	-0.10	-0.10	ORF	
CD2AP	ENST00000359314.5	CD2-associated protein 	145	1	1	0	0	0	0	0	0	0	hsa-miR-16-5p	-0.10	-0.43	0.89	2007, 2009, 2011
TBC1D9	ENST00000442267.2	TBC1 domain family, member 9 (with GRAM domain) 	200	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.10	-0.25	0.68	2009, 2011
FCHSD2	ENST00000311172.7	FCH and double SH3 domains 2 	73	1	0	0	1	1	0	1	0	0	hsa-miR-16-5p	-0.10	-0.32	0.87	2005, 2007, 2009, 2011
JOSD1	ENST00000216039.5	Josephin domain containing 1 	24	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.10	-0.18	0.57	
MAPK1IP1L	ENST00000395468.4	mitogen-activated protein kinase 1 interacting protein 1-like 	4002	1	0	1	0	0	0	0	0	1	hsa-miR-16-5p	-0.10	-0.30	0.77	2005, 2007, 2009, 2011
CBX5	ENST00000209875.4	chromobox homolog 5 	360	1	0	0	1	0	0	0	0	4	hsa-miR-15b-5p	-0.10	-0.34	0.86	2011
KATNAL1	ENST00000380615.3	katanin p60 subunit A-like 1 	335	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.10	-0.28	0.43	2009, 2011
SEMA3A	ENST00000265362.4	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A 	162	2	0	2	0	0	0	0	0	0	hsa-miR-15b-5p	-0.10	-0.41	0.93	2007, 2009, 2011
OGT	ENST00000373719.3	O-linked N-acetylglucosamine (GlcNAc) transferase 	1036	1	0	1	0	0	0	0	0	0	hsa-miR-195-5p	-0.10	-0.22	0.69	2005, 2007, 2009, 2011
FANCB	ENST00000324138.3	Fanconi anemia, complementation group B 	54	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.10	-0.39	0.12	
PPM1K	ENST00000608933.1	protein phosphatase, Mg2+/Mn2+ dependent, 1K 	46	1	0	1	0	0	0	0	0	0	hsa-miR-15b-5p	-0.10	-0.29	0.47	
RFFL	ENST00000315249.7	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase 	670	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.10	-0.12	0.58	
PSME3	ENST00000541124.1	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki) 	3605	1	0	1	0	1	0	0	1	0	hsa-miR-15a-5p	-0.10	-0.43	0.44	2005, 2007, 2009, 2011
DHDDS	ENST00000360009.2	dehydrodolichyl diphosphate synthase 	325	1	0	1	0	0	0	0	0	1	hsa-miR-15a-5p	-0.10	-0.19	0.58	2005, 2007, 2009, 2011
TERT	ENST00000296820.5	telomerase reverse transcriptase 	10	1	0	1	0	1	0	1	0	1	hsa-miR-16-5p	-0.10	-0.20	0.19	
EIF5A2	ENST00000474096.1	eukaryotic translation initiation factor 5A2 	443	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.10	-0.26	0.50	2009, 2011
STXBP5	ENST00000367481.3	syntaxin binding protein 5 (tomosyn) 	555	2	2	0	0	0	0	0	0	1	hsa-miR-15b-5p	-0.10	-0.40	0.82	2011
SPEN	ENST00000375759.3	spen homolog, transcriptional regulator (Drosophila) 	7	1	1	0	0	0	0	0	0	1	hsa-miR-497-5p	-0.10	-0.10	0.69	2007, 2009, 2011
CERS1	ENST00000427170.2	ceramide synthase 1 	167	1	0	1	0	2	0	2	0	1	hsa-miR-15a-5p	-0.10	-0.10	ORF	2007
ZER1	ENST00000291900.2	zyg-11 related, cell cycle regulator 	336	1	0	0	1	1	0	1	0	0	hsa-miR-497-5p	-0.09	-0.18	0.78	2007, 2009, 2011
DDX3X	ENST00000399959.2	DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked 	965	1	1	0	0	1	0	0	1	0	hsa-miR-424-5p	-0.09	-0.47	0.88	2005, 2007, 2009, 2011
GOLT1B	ENST00000540141.1	golgi transport 1B 	848	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.09	-0.36	0.68	2009, 2011
PCDH1	ENST00000503492.1	protocadherin 1 	30	1	0	1	0	2	0	2	0	0	hsa-miR-195-5p	-0.09	-0.10	0.44	
FBXO10	ENST00000432825.2	F-box protein 10 	14	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.09	-0.09	0.69	2007, 2009, 2011
KCNC4	ENST00000369787.3	potassium voltage-gated channel, Shaw-related subfamily, member 4 	138	1	0	1	0	1	0	1	0	0	hsa-miR-15a-5p	-0.09	-0.19	0.59	2009, 2011
FUBP1	ENST00000370767.1	far upstream element (FUSE) binding protein 1 	2021	1	1	0	0	0	0	0	0	0	hsa-miR-497-5p	-0.09	-0.25	0.41	2007, 2009, 2011
PITPNM3	ENST00000421306.3	PITPNM family member 3 	5	1	0	1	0	2	0	2	0	2	hsa-miR-195-5p	-0.09	-0.09	0.56	
DLGAP2	ENST00000421627.2	discs, large (Drosophila) homolog-associated protein 2 	5	1	1	0	0	2	0	2	0	1	hsa-miR-16-5p	-0.09	-0.09	0.35	2009, 2011
CDCA2	ENST00000330560.3	cell division cycle associated 2 	215	1	1	0	0	1	1	0	0	1	hsa-miR-424-5p	-0.09	-0.24	0.89	
ATG14	ENST00000247178.5	autophagy related 14 	25	2	0	2	0	0	0	0	0	1	hsa-miR-16-5p	-0.09	-0.54	0.90	2005, 2007, 2009, 2011
KCNE4	ENST00000281830.3	potassium voltage-gated channel, Isk-related family, member 4 	5	1	0	1	0	0	0	0	0	0	hsa-miR-16-5p	-0.09	-0.09	0.71	2011
DENND2C	ENST00000393276.3	DENN/MADD domain containing 2C 	51	1	0	1	0	0	0	0	0	2	hsa-miR-195-5p	-0.09	-0.09	0.66	2011
TMEM38A	ENST00000187762.2	transmembrane protein 38A 	158	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.09	-0.09	0.80	
SGSM2	ENST00000426855.2	small G protein signaling modulator 2 	381	1	0	1	0	0	0	0	0	0	hsa-miR-15a-5p	-0.09	-0.09	0.55	
MARCH9	ENST00000266643.5	membrane-associated ring finger (C3HC4) 9 	328	1	0	0	1	0	0	0	0	1	hsa-miR-424-5p	-0.09	-0.29	0.66	
TXNIP	ENST00000369317.4	thioredoxin interacting protein 	11	1	0	1	0	0	0	0	0	1	hsa-miR-15b-5p	-0.09	-0.15	0.48	2011
